,0
73,"Друг постоянно звал меня выйти, потусить, но я всё откладывал и переносил встречи. Сижу вечером дома, вдруг стук… В окно! Подхожу - голубь… С запиской! Открыл окно, снял с голубя записку, читаю: ""Го на пивко, за*бал!""… Выезжаю! 

#Друзья@pn6"
74,"А что если сны — это альтернативные варианты развития нашего будущего? 

#Мысли@pn6"
75,"Почему? Вот почему каждый раз, когда я слышу ""Мордовия"" - я сразу же представляю Фродо, кольцо и око Саурона?! Это лечится как-то?!🤣

#Опрос@pn6"
76,"Вот ты такой каждый день умираешь на работе, а потом вдруг заболеваешь, лежишь дома, дышать не можешь, спать не можешь, всё тело ломит, температура херачит, и ты вспоминаешь, какие же прекрасные те деньки на работе были!😩

#Жиза@pn6"
77,
78,"Должны были поехать с мужем в наше (и моё) первое путешествие! В Париж! Я была так взволнована и так усердно готовилась, что за пару дней до поездки дико заболела! Заболела настолько, что лететь нельзя было… Сдали билеты, отменили все брони… То - насколько я была расстроена - просто не передать... Наступает тот день, когда мы должны были вылетать, я прям чувствую, как не хочу, чтоб этот день наступал, и специально заставляю себя спать подольше, даже глаза не открываю. Тут заходит муж, с чем-то дико вкусно пахнущим! Говорит: ""Любимая, открой глаза"". Я открываю и от изумления, вместе с глазами открылся и рот! Муж включает музыку, где девушка прелестно поет на французском, сам он в в белой в черную полоску кофте, с черным шарфиком и беретом на голове, в руках у него безумно ароматные кофе и круассаны, а окна полностью заклеены парижскими видами, что в целом создает нереальную атмосферу Франции! Он подходит ко мне, ставит поднос с чудесным завтраком, надевает на меня берет и говорит: ""Женясь на тебе, я дал обещание радовать тебя каждый день. Неважно, что мы не смогли поехать, у нас еще целая жизнь впереди, чтобы объездить весь мир. Поэтому прекращай расстраиваться и ешь круассан, пока горячий! Я взял выходной сегодня, сейчас поставлю проектор и будем весь день смотреть французские фильмы!""... Кажется, я вышла замуж за мечту!😍

#Любовь@pn6"
79,"Раньше с девушкой часто возникали недопонимания, так как она любит намёки, а я, как истинный мужчина, намёков, конечно же, не понимаю. Тут я заметил, что у неё на вещах начали появляться фразочки, типа ""Сейчас лучше не подходи."", ""Хочу обнимашек, немедленно!"", ""Мне не хватает твоего внимания…"", и пр., и я понял - это одежда под её настроение в данный момент! Я начал следовать ""указаниям"" на одежде, и о чудо, мы вообще перестали ругаться! А последние несколько дней, уговариваю девушку создать свой мерч с этими фразочками и продавать, чтоб мужчины были в курсе, что нужно их женщинам! Как думаете, надо девушке открывать своё дело с такой одеждой?) 
❤2к лайков - не надо, это тупо.
❤больше 3к лайков - пусть открывает! это будет круто! я б даже купил/а!

#Женщины@pn6"
80,"В нашем городе происходит п*здец на п*здеце. Недавно водитель маршрутки целый день катал бабулю, которая заснула у него в салоне, но позже оказалось, что бабуля умерла. Водитель пояснил свое поведение тем, что не хотел беспокоить ветерана труда, мол, неловко было...

#Пздц@pn6"
81,"🔥 Давно ищешь кого-то особенного, но все никак не можешь найти? Мы долго думали и решили, что этот флешмоб как раз то, что тебе нужно! С этого дня в Палате стартует флешмоб ""Ты мне нужен"". 😎 
 
📌Что делать? 
1. Выбрать пункт, который тебе подходит. 
2. Написать человеку, начав с какой-нибудь забавной фразы. Например: ""Ты мне нужен, как солнышко любителю веснушек"" или ""ты мне нужна, как инсулин диабетику"" 😉 
3. Наслаждаться замечательным общением 
4. Присылать скрины ваших крутых переписок! Лучшие будут опубликованы! 👍 
 
Мы верим, что сегодня этот мир станет на несколько человек счастливее, а кто-то обязательно найдет того, с кем проведет всю свою жизнь! Любви и настоящих друзей вам, любимая моя палатовская семья! ❤"
82,"Иногда бывает, что посетители забывают у нас телефоны, кошельки, шапки и другие мелочи. Всё сохраняем, потом отдаем владельцам. Вчера был абсолютный джекпот. Посетитель забыл протез ноги и гранату. Когда он на костылях вернулся за вещами, мы как-то постеснялись спросить, настоящая ли граната? Судя по всему, да. 

#Пздц@pn6"
83,"Был в Америке, попал к дантисту. Копаясь у меня во рту, он вдруг сказал, что у меня стоит очень качественная пломба, мол, такие даже в Америке не ставят. Когда вернулся домой, рассказал об этом стоматологу, который ту пломбу ставил, и он не просто воссиял от гордости, но и повысил свои цены в два раза. 

#Экспонат@pn6"
84,"Когда я начала жить со своим первым парнем, я не могла ходить в туалет, если он был дома. В моей голове существовал какой-то жесткий загон, из-за которого я каждый день ходила в торговый центр и делала свои дела там и только там.. Это продолжалось четыре месяца, а потом мы, слава богу, расстались. 

#Отношения@pn6"
85,"Есть знакомый, за которого всё и всегда решала его мама. Даже когда закончил школу, мама устроила в универ, со всеми договорилась. После универа ходила с ним на собеседования, устроила на хорошую должность в неплохой компании. Она же нашла ему невесту, привела её чуть ли не домой знакомить с сыном. Всё получилось: пару месяцев встречались, потом свадьба, скоро летят отдыхать: жена, муж и мама мужа. 

#Мама@pn6"
86,"У меня однажды в Бразилии украли телефон. Мы сами воров задержали, но они смотрят нам прямо в глаза и нагло врут: ""Не брали!"". Отошли в сторонку, я беру телефон мужа и пишу на свой номер смс по-португальски: ""Моя бабушка была ведьмой. Не вернёте телефон - ваши дети будут рождаться трёхглазыми"". Тут же возвратили. 

#Лайфхак@pn6"
87,"Я всегда была очень добрым, но как оказалось жестоким ребёнком. Когда мне было 8 лет, мы с двоюродной сестрой приехали на каникулы к бабушке Мы много гуляли и как это обычно бывает, что бы ни случилось, за все доставалось ей как старшей, но она никогда меня не сдавала и смело принимала все на себя. И вот, в очередной раз она не выдержала и все рассказала бабушке. Естественно, меня наругали и не отпустили гулять, а сестра ушла гулять. Я так на неё разозлилась, что из контейнеров, где лежат её линзы, я вылила весь раствор, а вместо него налила туда духи. Она пришла домой и чуть не сожгла себе роговицы...До сих пор стыдно за тот поступок.

#Детство@pn6"
88,"Знакомый решил сделать предложение своей девушке на концерте любимой группы. Договорился с группой, мол, чтобы посередине выступления сделали паузу, а он в это время сделает предложение. В общем, всё складывалось отлично, но после первой же песни группа играть перестали - вошли сотрудники и по какой-то причине сорвали концерт. Мало того, знакомый никак не мог найти свою девушку...Перелопатил весь клуб и нашёл её в туалете с барабанщиком. 

#Обидно@pn6"
89,
90,"С отцом натянутые отношения, я ему должен денег, но не отдаю уже полгода. Вчера у бати кончилось терпение, и он ограбил магазин, в котором я работаю🙃 Камеры были отключены, но я знаю, что это он. Администратору пох, полиции тем более, поэтому убытки заплатить должен буду я. Злюсь, но понимаю, что справедливо(

#Батя@pn6"
91,"Работаю в клинике, где помогаем наркозависимым справиться с этой проблемой. Раз в неделю бывают групповые сеансы, где люди рассказывают свои истории о том, как пришли к употреблению. У всех всё стандартное, мол, попробовал, будучи пьяным, кто-то угостил и тд. Но был парень, который выдал следующее: ""Думаю, это гены. Мой дед ел мухоморы, прадед курил опиум, прапрадед облизывал галлюциногенных жаб, так что, думаю, наркотики - это у меня в крови"". 

#Работа@pn6"
92,"Всё ещё не теряя надежды, спрашиваю у инструктора: ""Ну что, я сдал?"" Он молчит, как будто одновременно забыв все слова. К счастью, в разговор вмешался кассир магазина на заправке, в который я въехал, и сказал инструктору: ""Вы знаете, кажется, у него есть потенциал...""

#Фейл@pn6"
93,"Я настолько одинока, что уже третий год обмениваюсь письмами с человеком, который получил пожизненное за каннибализм. Не страшно, потому что он никогда не выйдет. Он очень интеллигентный и эрудированный человек, а ещё никто не знает столько вкусных рецептов, сколько знает он. Новогодний стол будет состоять исключительно из блюд, которые он мне посоветовал. Блюда не из людей, если что. 

#Пздц@pn6"
94,"Работаю учителем английского, недавно дала задание написать сочинение о любимом музыканте. Одна девочка написала о пианисте, который написал первую симфонию в девятилетнем возрасте, а через два года уже начал давать концерты. Другая написала о бедном гитаристе, который первую гитару сделал из консервной банки и рыболовной лески. Третья сделала доклад о жизни всех людей, которых убил её любимый рэпер🙃

#Работа@pn6"
95,"Муж, сказал, что если опубликуют мой пост, то он поверит, что все ваши истории не фейк!
______________
А откуда нам знать, что твой муж не фейк?😔

#Палата@pn6"
96,"А мне алкоголь жизнь спас. После дня рождения осталось ОЧЕНЬ много нетронутых бутылок и крепкого и не очень. Недолго думая, я выставила всё на балкон. Ночью был непонятный шум, но значения не придала. Утром на балконе обнаружила пьяное вдрызг тело бывшего. Оказалось он залез к нам, но, будучи алкоголиком, не смог устоять и пройти мимо таких богатств - выпил что смог. А может решил для храбрости принять, кто знает... Свой путь продолжить он был уже не в состоянии - и слава Богу! Ведь полиция когда его забирала обнаружила при нём здоровенный нож, верёвку и прощальную записку, в которой он объяснил, почему он собирается покончить собой и признаётся в моём убийстве.

#Шооок@pn6"
97,"У нас в доме живет одна пенсионерка, очень вредная старушка. Однажды ее решили ограбить, парень влез в квартиру и обнаружил хозяйку на полу без дыхания. Самостоятельно вернул ее к жизни, вызвал скорую, пока ждали скорую, бабуля напоила его чаем и накормила пирожками, куда подмешала сильнодействующее снотворное, чтобы он копов дождался, которых она вызвала. Ходит теперь, передачки ему в тюрьму носит, а он каждый раз грозится убить ее за то, что сдала его. 
________
Как считаете, правильно поступила? 
До 6к – правильно
От 6к – надо было пожалеть 

#Фейл@pn6"
98,"Живу в довольно большом городе, но не в столице. У нас недавно открылся новый барбершоп, к открытию – 50% скидка. Залез почитать отзывы – все хвалят мастеров в стиле ""Мария шикарно бреет бороду опасным лезвием"", ""Валентина просто мастер своего дела"", начал копать дальше, оказалось, что все мастера девушки, что завлекло еще больше. Решил сходить, прихожу, а все барберы не просто девушки, а пенсионерки. При этом прекрасно ухожены, стильно и по молодежному одеты, в салоне играл Тупак и старый классический рэпчик. Попал к Марие, а она в очках с линзами толщиной в китайскую стену, сначала было страшно, но она так аккуратно и чательно все делала, при этом отвлекая меня разговорами и периодически развлекая пахабными анекдотами, что я даже не заметил, как она мне со своим зрением гладенько все побрила опасной бритвой. Смело скажу, что лучше меня еще никогда и нигде не подстригали. Так на выходе еще и карточку дали, собери 5 стрижек и 6 в подарок. Теперь точно буду ходить только к ним.

 
#Удивительное@pn6"
99,"⚡⚡⚡Пришло время для флешмоба ""Правда или действие"", и начнем мы его прямо сейчас! ⚡⚡⚡

Сегодня у вас есть шанс поближе познакомиться друг с другом, задавая абсолютно любые вопросы и придумывая забавные задания 😎

💥 ПРАВИЛА УЧАСТИЯ
1) Выбирайте свой возраст
2) Выбирайте 20 человек, подходящего возраста;
3) Начните разговор с фразы ""Приготовься рассказать мне все. Правда или действие?"" 😇
4) Если ваш собеседник выбирает правду - задаете ему вопрос, на который он обязан ответить честно, а если действие - то придумываете веселое, но несложное задание.
5) Присылайте скрины веселых переписок в ""предложить новость"" 👍
6) Наслаждайтесь хорошим вечером! 😍

Не стесняйтесь и наслаждайтесь новыми знакомствами, будьте добрее и внимательнее друг к другу. Сегодня у вас есть прекрасный шанс завести новых друзей, которые если и не будут с вами на протяжении всей жизни, то уж точно помогут скрасить не один вечер 💃

Зажгите этот вечер 🔥🔥🔥"
